Var1,Var2
0.86,0.0621432609659162
0.861,0.0631376155246777
0.862,0.064136270325893
0.863,0.0651390972342125
0.864,0.066145978363033
0.865,0.0671568127687955
0.866,0.068171517316612
0.867,0.0691900215402802
0.868,0.0702122592427523
0.869,0.0712381604435486
0.87,0.0722676477826756
0.871,0.0733006390325058
0.872,0.0743370512940739
0.873,0.0753768013145306
0.874,0.07641980155626
0.875,0.0774659556727203
0.876,0.0785151567719855
0.877,0.0795672896718863
0.878,0.0806222361683651
0.879,0.0816798812336428
0.88,0.0827401181579396
0.881,0.0838028517864686
0.882,0.0848680003183444
0.883,0.0859354971436549
0.884,0.0870052931697257
0.885,0.0880773557403874
0.886,0.0891516596414343
0.887,0.0902281741994859
0.888,0.0913068563083985
0.889,0.0923876531094131
0.89,0.0934705091035215
0.891,0.094555371348698
0.892,0.0956421902092996
0.893,0.0967309168268399
0.894,0.097821499525641
0.895,0.0989138796338856
0.896,0.10000798722487
0.897,0.101103738997174
0.898,0.1022010417389
0.899,0.103299801290993
0.9,0.104399931540045
0.901,0.105501358201726
0.902,0.106604016329725
0.903,0.107707843323077
0.904,0.108812769877842
0.905,0.109918711650031
0.906,0.111025563801631
0.907,0.112133200367431
0.908,0.113241480413293
0.909,0.114350259768081
0.91,0.115459401770282
0.911,0.116568780168455
0.912,0.117678273271749
0.913,0.118787756108948
0.914,0.119897099993063
0.915,0.121006180688402
0.916,0.122114887689609
0.917,0.123223127555805
0.918,0.124330820819307
0.919,0.125437896859523
0.92,0.126544290754427
0.921,0.127649943507807
0.922,0.128754805362591
0.923,0.129858838612829
0.924,0.130962014444763
0.925,0.132064302934415
0.926,0.13316566414498
0.927,0.134266047141507
0.928,0.135365393099524
0.929,0.136463636285153
0.93,0.137560704062054
0.931,0.138656518749308
0.932,0.139751000818519
0.933,0.140844072042332
0.934,0.141935655395553
0.935,0.143025669457203
0.936,0.144114021669375
0.937,0.145200607658963
0.938,0.146285316629177
0.939,0.147368038811921
0.94,0.148448672221066
0.941,0.14952712355451
0.942,0.150603301265692
0.943,0.151677108812046
0.944,0.152748445393994
0.945,0.153817209424395
0.946,0.154883298124353
0.947,0.155946606345339
0.948,0.15700702699073
0.949,0.158064449324452
0.95,0.159118756407062
0.951,0.160169828233858
0.952,0.16121754997829
0.953,0.162261818415638
0.954,0.163302544514687
0.955,0.164339652128018
0.956,0.165373070225641
0.957,0.166402722210843
0.958,0.167428522965946
0.959,0.168450385517119
0.96,0.169468227858779
0.961,0.170481972358583
0.962,0.171491539080471
0.963,0.172496837463204
0.964,0.173497761171704
0.965,0.174494190482294
0.966,0.175486002111647
0.967,0.176473078813272
0.968,0.177455312925026
0.969,0.178432605671755
0.97,0.179404865118318
0.971,0.180372002705348
0.972,0.181333931493707
0.973,0.182290568759638
0.974,0.183241839733089
0.975,0.184187678723552
0.976,0.185128028020246
0.977,0.186062836814854
0.978,0.186992059929975
0.979,0.187915653288018
0.98,0.188833565836072
0.981,0.189745733713761
0.982,0.190652080319167
0.983,0.191552520371549
0.984,0.19244696391682
0.985,0.193335317116849
0.986,0.194217478788686
0.987,0.195093335436311
0.988,0.195962759701532
0.989,0.196825614416293
0.99,0.19768175821798
0.991,0.198531047188727
0.992,0.199373333169273
0.993,0.200208464945506
0.994,0.201036294767559
0.995,0.201856684225316
0.996,0.202669503393191
0.997,0.203474624696151
0.998,0.204271916307355
0.999,0.205061238003901
1,0.205842441494686
1.001,0.206615374741606
1.002,0.207379884922462
1.003,0.208135817495944
1.004,0.208883017350017
1.005,0.209621334103238
1.006,0.210350624143055
1.007,0.211070746054809
1.008,0.211781556770652
1.009,0.212482913724069
1.01,0.213174678669742
1.011,0.213856719491132
1.012,0.214528911907444
1.013,0.215191142379292
1.014,0.215843310882521
1.015,0.216485332351496
1.016,0.217117136694714
1.017,0.217738666721812
1.018,0.218349872887352
1.019,0.218950705942536
1.02,0.219541111947871
1.021,0.220121033105841
1.022,0.220690411195656
1.023,0.22124918747958
1.024,0.221797298798065
